序号,所在小区,网站链接,总价,建筑时间,区域,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
11,时代倾城 ,https://cs.lianjia.com/ershoufang/104108764858.html,2017年建/板塔结合,望城,110万,10703元/平米,3室1厅1厨2卫,高楼层 (共35层),102.78㎡,平层,81.49㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2022-06-01,商品房,2018-06-21,普通住宅,暂无数据,非共有,有抵押 业主自还,已上传房本照片
12,龙湖春江郦城 ,https://cs.lianjia.com/ershoufang/104108754562.html,未知年建/暂无数据,岳麓,226万,20025元/平米,3室2厅1厨2卫,高楼层 (共32层),112.86㎡,平层,暂无数据,暂无数据,南,钢混结构,精装,一梯三户,暂无数据,2022-05-31,商品房,2019-09-15,普通住宅,暂无数据,非共有,有抵押 107万元 兴业银行 业主自还,已上传房本照片,1154730220441780
13,天骄福邸 ,https://cs.lianjia.com/ershoufang/104108759090.html,2011年建/板楼,岳麓,135万,11954元/平米,3室1厅1厨2卫,高楼层 (共18层),112.94㎡,平层,93.95㎡,板楼,南 北,钢混结构,其他,四梯八户,有,2022-05-31,商品房,2013-08-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,1152666660452271
14,保利花园三期 ,https://cs.lianjia.com/ershoufang/104108748144.html,2012年建/板楼,天心,78.5万,9259元/平米,2室2厅1厨1卫,低楼层 (共15层),84.79㎡,平层,71.26㎡,板楼,南,钢混结构,毛坯,两梯四户,有,2022-05-30,商品房,2012-05-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,1005882820450202
15,新城新世界一期 ,https://cs.lianjia.com/ershoufang/104108756642.html,2013年建/板塔结合,雨花,143万,11213元/平米,3室2厅1厨2卫,高楼层 (共33层),127.54㎡,平层,104.27㎡,板塔结合,南,钢混结构,简装,两梯四户,有,2022-05-31,商品房,2012-03-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,1010372170441041
16,珠江花城一期 ,https://cs.lianjia.com/ershoufang/104108766374.html,2007年建/板塔结合,开福,102万,8544元/平米,3室2厅1厨2卫,高楼层 (共18层),119.39㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,2022-06-02,商品房,2008-05-05,普通住宅,满五年,非共有,有抵押 10万元 业主自还,已上传房本照片,1023467340400428
17,北辰三角洲凤凰公元 ,https://cs.lianjia.com/ershoufang/104108753143.html,未知年建/板塔结合,开福,220万,18392元/平米,3室1厅1厨2卫,低楼层 (共44层),119.62㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,两梯三户,有,2022-05-30,商品房,2018-06-13,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1154738870472682
18,金地自在城 ,https://cs.lianjia.com/ershoufang/104108767262.html,未知年建/塔楼,望城,85万,8763元/平米,3室2厅1厨1卫,低楼层 (共34层),97㎡,平层,73.73㎡,塔楼,南,钢混结构,精装,两梯四户,有,2022-06-02,商品房,2018-05-22,普通住宅,暂无数据,非共有,有抵押 13万元 客户偿还,已上传房本照片
19,佳兆业云顶梅溪湖 ,https://cs.lianjia.com/ershoufang/104108774523.html,2014年建/板塔结合,岳麓,182万,16513元/平米,3室1厅1厨2卫,低楼层 (共38层),110.22㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯六户,有,2022-06-04,商品房,2017-11-07,普通住宅,暂无数据,非共有,无抵押,已上传房本照片
20,金茂府 ,https://cs.lianjia.com/ershoufang/104108774436.html,2017年建/板塔结合,岳麓,338万,23625元/平米,3室2厅1厨2卫,高楼层 (共46层),143.07㎡,平层,暂无数据,板塔结合,东 南,钢混结构,精装,两梯三户,有,2022-06-04,商品房,2018-01-10,普通住宅,暂无数据,非共有,有抵押 110万元 业主自还,已上传房本照片
21,紫御江山人民里 ,https://cs.lianjia.com/ershoufang/104108765962.html,2015年建/塔楼,芙蓉,150万,10989元/平米,4室2厅1厨2卫,低楼层 (共32层),136.51㎡,平层,暂无数据,塔楼,南 北 东,钢混结构,毛坯,两梯三户,有,2022-06-02,商品房,2018-09-27,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1155156860471449
22,曙光领峰 ,https://cs.lianjia.com/ershoufang/104108780583.html,2012年建/板楼,雨花,79.9万,10088元/平米,2室1厅1厨2卫,低楼层 (共34层),79.21㎡,平层,70.41㎡,板楼,西,钢混结构,精装,一梯三户,无,2022-06-05,商品房,2013-06-05,普通住宅,满五年,非共有,无抵押,已上传房本照片
23,万国城三期 ,https://cs.lianjia.com/ershoufang/104108770977.html,2012年建/板塔结合,开福,98万,11080元/平米,3室2厅1厨1卫,中楼层 (共33层),88.45㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,2022-06-03,商品房,2017-05-08,普通住宅,满五年,非共有,有抵押 50万元 建设银行 客户偿还,已上传房本照片,1009458030411688
24,新城国际花都一期 ,https://cs.lianjia.com/ershoufang/104108770854.html,未知年建/板塔结合,望城,103.8万,8073元/平米,3室2厅1厨2卫,高楼层 (共34层),128.59㎡,平层,97.24㎡,板塔结合,南,钢混结构,精装,一梯三户,暂无数据,2022-06-03,商品房,2017-01-01,普通住宅,满五年,非共有,有抵押 33万元 客户偿还,已上传房本照片
25,珠江花城一期 ,https://cs.lianjia.com/ershoufang/104108767510.html,2007年建/板塔结合,开福,105万,9355元/平米,3室2厅1厨1卫,中楼层 (共11层),112.25㎡,平层,93.44㎡,板塔结合,南,钢混结构,精装,两梯三户,有,2022-06-02,商品房,2008-06-12,普通住宅,满五年,共有,无抵押,已上传房本照片,1155330270490775
26,湘水熙园 ,https://cs.lianjia.com/ershoufang/104108764119.html,2013年建/塔楼,天心,151万,12902元/平米,4室2厅1厨2卫,中楼层 (共23层),117.04㎡,平层,93.28㎡,塔楼,南 北,钢混结构,精装,两梯四户,有,2022-06-01,商品房,2012-12-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,1111670590420259
27,沁园春御院 ,https://cs.lianjia.com/ershoufang/104108616988.html,2011年建/板楼,岳麓,245万,13334元/平米,4室2厅1厨2卫,中楼层 (共18层),183.75㎡,平层,158.07㎡,板楼,南,钢混结构,精装,两梯两户,有,2022-05-07,商品房,2019-10-28,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1147102010403385
28,富基世纪公园 ,https://cs.lianjia.com/ershoufang/104108648869.html,2014年建/板塔结合,望城,120万,6927元/平米,4室2厅1厨2卫,中楼层 (共18层),173.26㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有,2022-05-13,商品房,2015-05-05,普通住宅,满五年,非共有,有抵押 20万元,已上传房本照片
29,方略潇邦 ,https://cs.lianjia.com/ershoufang/104108646994.html,2010年建/板塔结合,长沙县,80.8万,6483元/平米,4室1厅1厨2卫,高楼层 (共33层),124.64㎡,平层,101.66㎡,板塔结合,南 北,钢混结构,毛坯,两梯五户,有,2022-05-13,商品房,2012-10-29,普通住宅,满五年,非共有,无抵押,已上传房本照片
30,和顺洋湖壹号 ,https://cs.lianjia.com/ershoufang/104108640791.html,2015年建/板塔结合,岳麓,240万,14110元/平米,5室2厅1厨2卫,低楼层 (共29层),170.1㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯两户,有,2022-05-12,商品房,2018-03-20,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1151241430461610
31,北辰三角洲D2区 ,https://cs.lianjia.com/ershoufang/104108674643.html,2011年建/板塔结合,开福,260万,18797元/平米,4室2厅1厨2卫,中楼层 (共48层),138.32㎡,平层,107.14㎡,板塔结合,南,钢混结构,简装,三梯四户,有,2022-05-18,商品房,2016-08-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,1151634210452682
32,鑫天山城明珠 ,https://cs.lianjia.com/ershoufang/104108655704.html,未知年建/板楼,天心,95万,6297元/平米,4室2厅1厨2卫,中楼层 (共17层),150.88㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,2022-05-14,商品房,2012-05-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,1153023490473158
33,万科城三期 ,https://cs.lianjia.com/ershoufang/104108681733.html,2014年建/板塔结合,开福,172.8万,14174元/平米,4室2厅1厨2卫,中楼层 (共34层),121.92㎡,平层,99.12㎡,板塔结合,南 北,钢混结构,精装,两梯五户,有,2022-05-19,商品房,2015-06-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,1151714930480776
34,凯乐国际城一期 ,https://cs.lianjia.com/ershoufang/104108725851.html,2013年建/板塔结合,开福,82万,8638元/平米,2室2厅1厨1卫,中楼层 (共32层),94.94㎡,复式,暂无数据,板塔结合,南 北,钢混结构,简装,三梯二十二户,有,2022-05-26,商品房,2018-06-15,普通住宅,暂无数据,共有,暂无数据,已上传房本照片,1153548090471086
35,都市兰亭汇峰苑 ,https://cs.lianjia.com/ershoufang/104108707128.html,2013年建/塔楼,雨花,80万,13124元/平米,3室2厅1厨2卫,低楼层 (共31层),60.96㎡,复式,44.09㎡,塔楼,南,钢混结构,精装,两梯二十二户,有,2022-05-23,商品房,2014-09-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,1152681950440415
36,橘郡礼顿山 ,https://cs.lianjia.com/ershoufang/104108754484.html,未知年建/板塔结合,天心,215万,10016元/平米,5室2厅1厨3卫,高楼层 (共6层),214.67㎡,复式,暂无数据,板塔结合,南 北,混合结构,毛坯,一梯四户,暂无数据,2022-05-31,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
37,万科里金域国际 ,https://cs.lianjia.com/ershoufang/104108651528.html,2014年建/板塔结合,岳麓,253万,22925元/平米,3室2厅1厨2卫,中楼层 (共47层),110.36㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,四梯六户,有,2022-05-14,商品房,2017-05-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,1150145650453186
38,中南汽车世界 ,https://cs.lianjia.com/ershoufang/104108712105.html,2004年建/板楼,长沙县,60万,5264元/平米,4室2厅1厨1卫,低楼层 (共6层),114㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,暂无数据,2022-05-24,商品房,2005-05-24,普通住宅,满五年,非共有,有抵押 23万元 业主自还,已上传房本照片
39,世纪城咏江苑 ,https://cs.lianjia.com/ershoufang/104108713737.html,2009年建/塔楼,开福,160万,12837元/平米,3室2厅1厨2卫,低楼层 (共33层),124.64㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯两户,有,2022-05-24,商品房,2010-02-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,1153955080450469
40,四季美景水木轩 ,https://cs.lianjia.com/ershoufang/104108718176.html,2007年建/板楼,开福,115万,9121元/平米,3室2厅1厨2卫,高楼层 (共17层),126.09㎡,错层,107.64㎡,板楼,南 北,钢混结构,精装,一梯两户,有,2022-05-25,商品房,2008-05-07,普通住宅,满五年,共有,无抵押,已上传房本照片,1087835170460356
41,中海国际社区1期 ,https://cs.lianjia.com/ershoufang/104108705034.html,2014年建/板塔结合,岳麓,116万,10692元/平米,3室2厅1厨2卫,低楼层 (共33层),108.5㎡,平层,85.66㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2022-05-22,商品房,2017-12-17,普通住宅,暂无数据,共有,有抵押 36万元 中国银行 客户偿还,已上传房本照片,1152538180401851
42,恒大名都 ,https://cs.lianjia.com/ershoufang/104108719658.html,未知年建/板塔结合,望城,76万,7625元/平米,3室2厅1厨2卫,中楼层 (共32层),99.68㎡,平层,暂无数据,板塔结合,北,钢混结构,精装,两梯四户,有,2022-05-25,商品房,2017-09-06,普通住宅,暂无数据,非共有,无抵押,已上传房本照片
43,佳园星城 ,https://cs.lianjia.com/ershoufang/104108709661.html,2005年建/板楼,雨花,65万,6477元/平米,3室2厅1厨2卫,低楼层 (共6层),100.37㎡,平层,90.38㎡,板楼,南 北,钢混结构,简装,一梯两户,无,2022-05-23,商品房,2013-05-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,1113392130452098
44,新芙蓉之都佳苑 ,https://cs.lianjia.com/ershoufang/104108728147.html,2008年建/塔楼,雨花,138.8万,10344元/平米,3室2厅1厨2卫,中楼层 (共31层),134.19㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯五户,有,2022-05-26,商品房,2010-05-17,普通住宅,满五年,非共有,有抵押 80万元 农村信用社,已上传房本照片,1106399290460802
45,长沙市花鼓戏剧院 ,https://cs.lianjia.com/ershoufang/104108703362.html,未知年建/暂无数据,开福,105万,10532元/平米,3室2厅1厨1卫,低楼层 (共7层),99.7㎡,平层,暂无数据,暂无数据,南,未知结构,精装,一梯一户,暂无数据,2022-05-22,商品房,1999-05-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,1123686150491202
46,中交中央公园 ,https://cs.lianjia.com/ershoufang/104108715890.html,2016年建/暂无数据,芙蓉,100万,11235元/平米,3室2厅1厨1卫,中楼层 (共30层),89.01㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,两梯四户,有,2022-05-24,商品房,2016-05-25,普通住宅,满五年,非共有,有抵押,已上传房本照片,1153167960461690
47,万科城三期 ,https://cs.lianjia.com/ershoufang/104108712259.html,2014年建/板塔结合,开福,115万,12662元/平米,3室1厅1厨2卫,低楼层 (共22层),90.83㎡,平层,71.58㎡,板塔结合,南 北,钢混结构,精装,两梯五户,有,2022-05-24,商品房,2015-12-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,1012219770440793
48,山水湾 ,https://cs.lianjia.com/ershoufang/104108713628.html,2011年建/板塔结合,长沙县,63.5万,7974元/平米,2室2厅1厨1卫,中楼层 (共11层),79.64㎡,平层,66.35㎡,板塔结合,南,钢混结构,精装,两梯三户,有,2022-05-24,商品房,2010-11-03,普通住宅,满五年,非共有,无抵押,已上传房本照片
49,明发阅江悦府 ,https://cs.lianjia.com/ershoufang/104108730098.html,2016年建/塔楼,望城,119.6万,10144元/平米,4室2厅1厨2卫,中楼层 (共34层),117.91㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,2022-05-26,商品房,2017-05-27,普通住宅,满五年,非共有,有抵押 10万元,已上传房本照片
50,梅溪鑫苑名家 ,https://cs.lianjia.com/ershoufang/104108709341.html,2016年建/板塔结合,岳麓,155万,14623元/平米,3室2厅1厨2卫,中楼层 (共33层),106㎡,平层,81.6㎡,板塔结合,南,钢混结构,毛坯,两梯四户,有,2022-05-23,商品房,2018-02-24,普通住宅,暂无数据,非共有,有抵押 40万元 业主自还,已上传房本照片,1121625360471125
51,松雅湖畔 ,https://cs.lianjia.com/ershoufang/104108714583.html,2010年建/板塔结合,长沙县,93万,7419元/平米,3室1厅1厨2卫,高楼层 (共17层),125.37㎡,平层,99.32㎡,板塔结合,东南,钢混结构,精装,两梯四户,有,2022-05-24,商品房,2010-05-19,普通住宅,满五年,非共有,无抵押,已上传房本照片
52,美林水郡 ,https://cs.lianjia.com/ershoufang/104108732917.html,未知年建/塔楼,长沙县,128.8万,7723元/平米,4室2厅1厨2卫,中楼层 (共5层),166.79㎡,平层,151.9㎡,塔楼,南,钢混结构,简装,一梯两户,无,2022-05-27,商品房,2009-12-03,普通住宅,满五年,非共有,无抵押,已上传房本照片
53,恒生碧水龙庭 ,https://cs.lianjia.com/ershoufang/104108713055.html,2018年建/板塔结合,雨花,105万,10052元/平米,4室2厅1厨2卫,低楼层 (共18层),104.46㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,一梯四户,暂无数据,2022-05-24,商品房,2018-09-26,普通住宅,暂无数据,共有,有抵押 15万元,已上传房本照片,1137296690451066
54,鑫远御文台 ,https://cs.lianjia.com/ershoufang/104108704583.html,2014年建/板塔结合,天心,175万,13136元/平米,4室2厅1厨2卫,高楼层 (共29层),133.23㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,2022-05-22,商品房,2016-05-04,普通住宅,满五年,共有,有抵押 20万元 业主自还,已上传房本照片,1154207970490202
55,森林公园壹号 ,https://cs.lianjia.com/ershoufang/104108709295.html,2011年建/塔楼,雨花,80万,8146元/平米,3室2厅1厨1卫,中楼层 (共18层),98.21㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,2022-05-23,商品房,2019-06-24,普通住宅,暂无数据,共有,无抵押,已上传房本照片,1153299810461591
56,新城新世界三期 ,https://cs.lianjia.com/ershoufang/104108716038.html,2013年建/塔楼,雨花,122万,12841元/平米,3室2厅1厨1卫,中楼层 (共33层),95.01㎡,平层,72.31㎡,塔楼,南,钢混结构,简装,两梯四户,有,2022-05-24,商品房,2016-08-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,1007117520461041
57,中海梅溪湖壹号二期 ,https://cs.lianjia.com/ershoufang/104108752305.html,未知年建/板楼,岳麓,168万,17304元/平米,3室1厅1厨1卫,中楼层 (共33层),97.09㎡,平层,暂无数据,板楼,西南 东南,钢混结构,其他,两梯四户,有,2022-05-30,商品房,2017-12-07,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1063854000410590
58,蓝山郡一期 ,https://cs.lianjia.com/ershoufang/104108738834.html,2012年建/板塔结合,长沙县,94万,9493元/平米,3室2厅1厨1卫,高楼层 (共33层),99.03㎡,平层,78.77㎡,板塔结合,南,钢混结构,简装,两梯四户,有,2022-05-28,商品房,2014-07-04,普通住宅,满五年,非共有,有抵押 建设银行 业主自还,已上传房本照片
59,世茂外滩里 ,https://cs.lianjia.com/ershoufang/104108740451.html,2015年建/板塔结合,岳麓,380万,24517元/平米,4室2厅1厨2卫,低楼层 (共55层),155㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,暂无数据,2022-05-28,商品房,2018-07-05,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1154174730462455
60,珠江东方明珠 ,https://cs.lianjia.com/ershoufang/104108737712.html,2015年建/板塔结合,望城,77万,8280元/平米,3室2厅1厨1卫,低楼层 (共32层),93㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,2022-05-28,商品房,2016-05-31,普通住宅,满五年,非共有,有抵押 8万元,已上传房本照片
61,中天广场 ,https://cs.lianjia.com/ershoufang/104108754601.html,2005年建/塔楼,芙蓉,74.8万,13505元/平米,2室1厅1厨1卫,高楼层 (共32层),55.39㎡,平层,42.48㎡,塔楼,南,钢混结构,精装,六梯三十九户,有,2022-05-31,商品房,2010-04-07,普通住宅,满五年,非共有,无抵押,已上传房本照片
62,湘江豪庭 ,https://cs.lianjia.com/ershoufang/104108737353.html,2011年建/板楼,开福,420万,21448元/平米,4室2厅1厨2卫,低楼层 (共43层),195.83㎡,平层,167.73㎡,板楼,南 北,钢混结构,精装,四梯四户,有,2022-05-28,商品房,2012-11-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,1154357680470518
63,金叶公寓 ,https://cs.lianjia.com/ershoufang/104108749628.html,未知年建/暂无数据,雨花,116万,10969元/平米,3室2厅1厨2卫,低楼层 (共7层),105.76㎡,平层,暂无数据,暂无数据,南,未知结构,精装,一梯一户,暂无数据,2022-05-30,商品房,2004-05-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,1155099840421132
64,金鹰城圣爵菲斯 ,https://cs.lianjia.com/ershoufang/104108711204.html,未知年建/暂无数据,开福,138.8万,9231元/平米,3室2厅1厨2卫,中楼层 (共7层),150.37㎡,错层,133㎡,暂无数据,南,钢混结构,精装,一梯两户,暂无数据,2022-05-23,商品房,2006-09-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,1131052300420910
65,湘熙水郡 ,https://cs.lianjia.com/ershoufang/104108730796.html,2014年建/板塔结合,岳麓,124.8万,13586元/平米,3室2厅1厨2卫,中楼层 (共34层),91.86㎡,平层,73.39㎡,板塔结合,南,钢混结构,精装,两梯八户,有,2022-05-27,商品房,2018-03-09,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1153666880401611
66,新城国际花都二期 ,https://cs.lianjia.com/ershoufang/104108743177.html,2014年建/塔楼,望城,71.8万,7696元/平米,3室2厅1厨1卫,高楼层 (共34层),93.3㎡,平层,75㎡,塔楼,南,钢混结构,简装,两梯四户,有,2022-05-29,商品房,2015-06-26,普通住宅,满五年,非共有,有抵押 18万元 中国银行 客户偿还,已上传房本照片
67,长沙恒大城 ,https://cs.lianjia.com/ershoufang/104108745057.html,未知年建/板楼,雨花,160万,10910元/平米,4室2厅1厨2卫,中楼层 (共18层),146.66㎡,平层,125.65㎡,板楼,南,钢混结构,精装,两梯两户,有,2022-05-29,商品房,2017-07-03,普通住宅,暂无数据,非共有,有抵押 25万元 客户偿还,已上传房本照片,1154596370451150
68,森林公园壹号 ,https://cs.lianjia.com/ershoufang/104108736786.html,2011年建/塔楼,雨花,96万,10696元/平米,3室2厅1厨2卫,高楼层 (共18层),89.76㎡,错层,64.8㎡,塔楼,南 北,钢混结构,精装,两梯三户,有,2022-05-28,商品房,2014-06-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,1153923790432853
69,金房奥斯卡东区 ,https://cs.lianjia.com/ershoufang/104108723242.html,未知年建/板塔结合,天心,86万,11087元/平米,2室2厅1厨1卫,中楼层 (共13层),77.57㎡,平层,61.47㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2022-05-25,商品房,2018-01-25,普通住宅,暂无数据,非共有,有抵押 10万元 金融公司垫资,已上传房本照片,1152069040471069
70,茶园坡社区 ,https://cs.lianjia.com/ershoufang/104108732654.html,2006年建/板楼,雨花,40万,7076元/平米,2室1厅1厨1卫,中楼层 (共6层),56.53㎡,平层,暂无数据,板楼,东南,砖混结构,简装,一梯两户,无,2022-05-27,商品房,1998-05-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,1154437120420415
71,万科金域华府 ,https://cs.lianjia.com/ershoufang/104108741659.html,2013年建/板塔结合,雨花,127万,13313元/平米,3室2厅1厨1卫,中楼层 (共30层),95.4㎡,平层,77.44㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2022-05-28,商品房,2016-05-09,普通住宅,满五年,非共有,有抵押 40万元 业主自还,已上传房本照片,1154262750450379
72,兴威帕克水岸 ,https://cs.lianjia.com/ershoufang/104108731257.html,2012年建/板塔结合,天心,125万,11073元/平米,3室2厅1厨2卫,低楼层 (共32层),112.89㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,2022-05-27,商品房,2017-05-05,普通住宅,满五年,共有,有抵押 50万元 公积金,已上传房本照片,1154556900431418
73,BOBO天下城 ,https://cs.lianjia.com/ershoufang/104108741006.html,2009年建/板塔结合,天心,122万,10532元/平米,3室2厅1厨1卫,高楼层 (共31层),115.84㎡,平层,91.91㎡,板塔结合,东南 北,钢混结构,简装,五梯十五户,有,2022-05-28,商品房,2011-01-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,1010905110451441
74,万芙锦城 ,https://cs.lianjia.com/ershoufang/104108777956.html,2013年建/板塔结合,天心,86.8万,10345元/平米,2室1厅1厨1卫,中楼层 (共27层),83.91㎡,平层,65.87㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2022-06-04,商品房,2013-07-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,1008759560462891
75,澳海澜庭月亮湾 ,https://cs.lianjia.com/ershoufang/104108744475.html,未知年建/暂无数据,望城,158.8万,19291元/平米,3室2厅1厨2卫,低楼层 (共6层),82.32㎡,复式,暂无数据,暂无数据,南 北,未知结构,精装,一梯两户,暂无数据,2022-05-29,商品房,2018-11-09,普通住宅,暂无数据,非共有,有抵押 40万元 业主自还,已上传房本照片
