制造商型号,厂家,描述,库存数量,批号,起订量,香港(美金),单价含税(13%),货期,操作
RC0805JR-07510RL,Yageo,RES SMD 510 OHM 5% 1/8W 0805,2666,15/16,1+  10+  100+  250+  500+,-,¥0.0577  ¥0.0267  ¥0.0138  ¥0.0075  ¥0.0038,1-3个工作日,购买
RC0805FR-07330KL,Yageo,RES SMD 330K OHM 1% 1/8W 0805,2600,16+,1+  10+  100+  250+  500+,-,¥0.0699  ¥0.0361  ¥0.0206  ¥0.0118  ¥0.0065,1-3个工作日,购买
RC0805FR-072K4L,Yageo,RES SMD 2.4K OHM 1% 1/8W 0805,2350,16+,1+  10+  100+  250+  500+,-,¥0.0698  ¥0.0335  ¥0.0185  ¥0.0097  ¥0.0056,1-3个工作日,购买
RC0805FR-072KL,Yageo,RES SMD 2K OHM 1% 1/8W 0805,2245,15/16,1+  10+  100+  250+  500+,-,¥0.0667  ¥0.0353  ¥0.0167  ¥0.0088  ¥0.0051,1-3个工作日,购买
RC0402FR-0720KL,Yageo,RES SMD 20K OHM 1% 1/16W 0402,2198,16,1+  10+  100+  250+  500+,-,¥0.0236  ¥0.0114  ¥0.0062  ¥0.0036  ¥0.0020,1-3个工作日,购买
RC0603JR-0722RL,Yageo,RES SMD 22 OHM 5% 1/10W 0603,2025,16,1+  10+  100+  250+  500+,-,¥0.0250  ¥0.0145  ¥0.0081  ¥0.0040  ¥0.0023,1-3个工作日,购买
RC1206FR-0791KL,Yageo,RES SMD 91K OHM 1% 1/4W 1206,2000,16+,1+  10+  100+  250+  500+,-,¥0.1415  ¥0.0651  ¥0.0342  ¥0.0185  ¥0.0104,1-3个工作日,购买
RC1206FR-0743KL,Yageo,RES SMD 43K OHM 1% 1/4W 1206,2000,16+,1+  10+  100+  250+  500+,-,¥0.1929  ¥0.0971  ¥0.0462  ¥0.0219  ¥0.0104,1-3个工作日,购买
RC1206FR-0736KL,Yageo,RES SMD 36K OHM 1% 1/4W 1206,2000,16+,1+  10+  100+  250+  500+,-,¥0.1365  ¥0.0658  ¥0.0345  ¥0.0186  ¥0.0104,1-3个工作日,购买
RC1206FR-0713KL,Yageo,RES SMD 13K OHM 1% 1/4W 1206,2000,16+,1+  10+  100+  250+  500+,-,¥0.1826  ¥0.0843  ¥0.0420  ¥0.0207  ¥0.0104,1-3个工作日,购买
RC1206FR-07330RL,Yageo,RES SMD 330 OHM 1% 1/4W 1206,2000,16+,1+  10+  100+  250+  500+,-,¥0.1318  ¥0.0758  ¥0.0398  ¥0.0185  ¥0.0104,1-3个工作日,购买
RC0805FR-074K75L,Yageo,RES SMD 4.75K OHM 1% 1/8W 0805,2000,16+,1+  10+  100+  250+  500+,-,¥0.0749  ¥0.0394  ¥0.0197  ¥0.0104  ¥0.0060,1-3个工作日,购买
GCM1885C2A221JA16D,Murata,CAP CER 220PF 100V 5% NP0 0603,2000,A,1+  10+  100+  250+  500+,$0.4478  $0.2376  $0.1108  $0.0578  $0.0310,¥3.5112  ¥1.8631  ¥0.8684  ¥0.4534  ¥0.2425,1-3个工作日,购买
RC1206FR-0791RL,Yageo,RES SMD 91 OHM 1% 1/4W 1206,1900,16+,1+  10+  100+  250+  500+,-,¥0.1300  ¥0.0703  ¥0.0381  ¥0.0209  ¥0.0104,1-3个工作日,购买
RC1206FR-072ML,Yageo,RES SMD 2M OHM 1% 1/4W 1206,1800,16+,1+  10+  100+  250+  500+,-,¥0.1993  ¥0.1102  ¥0.0575  ¥0.0333  ¥0.0155,1-3个工作日,购买
RC1206FR-0768KL,Yageo,RES SMD 68K OHM 1% 1/4W 1206,1700,16+,1+  10+  100+  250+  500+,-,¥0.1304  ¥0.0683  ¥0.0391  ¥0.0183  ¥0.0104,1-3个工作日,购买
RC1206FR-0720KL,Yageo,RES SMD 20K OHM 1% 1/4W 1206,1700,16+,1+  10+  100+  250+  500+,-,¥0.1419  ¥0.0818  ¥0.0385  ¥0.0203  ¥0.0104,1-3个工作日,购买
RC1206FR-073K9L,Yageo,RES SMD 3.9K OHM 1% 1/4W 1206,1600,16+,1+  10+  100+  250+  500+,-,¥0.1200  ¥0.0678  ¥0.0376  ¥0.0182  ¥0.0104,1-3个工作日,购买
RC1206FR-076K2L,Yageo,RES SMD 6.2K OHM 1% 1/4W 1206,1600,15/16,1+  10+  100+  250+  500+,-,¥0.1286  ¥0.0627  ¥0.0312  ¥0.0170  ¥0.0093,1-3个工作日,购买
RC1206FR-071K6L,Yageo,RES SMD 1.6K OHM 1% 1/4W 1206,1500,16+,1+  10+  100+  250+  500+,-,¥0.1229  ¥0.0612  ¥0.0353  ¥0.0192  ¥0.0104,1-3个工作日,购买
RC0402JR-07100KL,Yageo,RES SMD 100K OHM 5% 1/16W 0402,1310,15/16,1+  10+  100+  250+  500+,-,¥0.0162  ¥0.0094  ¥0.0044  ¥0.0025  ¥0.0014,1-3个工作日,购买
RC1206FR-075K1L,Yageo,RES SMD 5.1K OHM 1% 1/4W 1206,1300,16+,1+  10+  100+  250+  500+,-,¥0.1562  ¥0.0773  ¥0.0358  ¥0.0195  ¥0.0104,1-3个工作日,购买
CC0805FRNPO9BN100,Yageo,,1240,17+,1+  10+  100+  250+  500+,-,¥1.0518  ¥0.5152  ¥0.2858  ¥0.1588  ¥0.0735,1-3个工作日,购买
RC1206JR-07130RL,Yageo,RES SMD 130 OHM 5% 1/4W 1206,1000,16+,1+  10+  100+  250+  500+,-,¥0.0829  ¥0.0472  ¥0.0261  ¥0.0143  ¥0.0073,1-3个工作日,购买
CC1206JRNPO9BN222,Yageo,,1000,16+,1+  10+  100+  500+  1000+,-,¥0.2633  ¥0.2418  ¥0.2223  ¥0.2036  ¥0.1860,1-3个工作日,购买
RC0805FR-072KL,Yageo,RES SMD 2K OHM 1% 1/8W 0805,985,15/16,1+  10+  100+  250+  500+,-,¥0.0611  ¥0.0300  ¥0.0153  ¥0.0088  ¥0.0051,1-3个工作日,购买
RC0805FR-07150RL,Yageo,RES SMD 150 OHM 1% 1/8W 0805,760,16+,1+  10+  100+  250+  500+,-,¥0.0799  ¥0.0405  ¥0.0231  ¥0.0123  ¥0.0060,1-3个工作日,购买
RC0805FR-071K5L,Yageo,RES SMD 1.5K OHM 1% 1/8W 0805,453,16+,1+  10+  100+  250+  500+,-,¥0.0734  ¥0.0409  ¥0.0214  ¥0.0103  ¥0.0056,1-3个工作日,购买
RC1206FR-071ML,Yageo,RES SMD 1M OHM 1% 1/4W 1206,450,15/16,1+  10+  100+  250+  500+,-,¥0.1184  ¥0.0650  ¥0.0301  ¥0.0171  ¥0.0093,1-3个工作日,购买
RC0805JR-07330RL,Yageo,RES SMD 330 OHM 5% 1/8W 0805,425,15/16,1+  10+  100+  250+  500+,-,¥0.0578  ¥0.0296  ¥0.0145  ¥0.0071  ¥0.0038,1-3个工作日,购买
RC0805FR-0720KL,Yageo,RES SMD 20K OHM 1% 1/8W 0805,255,15/16,1+  10+  100+  250+  500+,-,¥0.0778  ¥0.0384  ¥0.0184  ¥0.0106  ¥0.0051,1-3个工作日,购买
MCR01MZPF6801,ROHM,RES SMD 6.8K OHM 1% 1/16W 0402,220,.,1+  10+  100+  500+  1000+,-,¥0.2211  ¥0.1997  ¥0.1836  ¥0.1669  ¥0.1520,1-3个工作日,购买
RC0805FR-072K2L,Yageo,RES SMD 2.2K OHM 1% 1/8W 0805,180,15/16,1+  10+  100+  250+  500+,-,¥0.0979  ¥0.0493  ¥0.0258  ¥0.0130  ¥0.0068,1-3个工作日,购买
RL1206FR-070R14L,Yageo,RES SMD 0.14 OHM 1% 1/4W 1206,150,a,1+  10+  100+  250+  500+,$0.1589  $0.0861  $0.0397  $0.0215  $0.0108,¥1.2459  ¥0.6752  ¥0.3114  ¥0.1682  ¥0.0842,1-3个工作日,购买
TNPW120647K0BEEA,VISHAY,RES SMD 47K OHM 0.1% 1/4W 1206,100,a,1+  10+  25+  50+  100+  250+  500+,-,¥5.9575  ¥5.5472  ¥5.2000  ¥4.8671  ¥4.5526  ¥4.2347  ¥3.9768,1-3个工作日,购买
CC0603JRNPO9BN300,Yageo,,100,15/16,1+  10+  100+  250+  500+,-,¥0.0807  ¥0.0466  ¥0.0257  ¥0.0121  ¥0.0066,1-3个工作日,购买
RT0603BRE07147KL,Yageo,RES SMD 147K OHM 0.1% 1/10W 0603,100,17+,1+  10+  100+  500+  1000+,-,¥1.2772  ¥1.1564  ¥1.0436  ¥0.9519  ¥0.8676,1-3个工作日,购买
RC0603FR-0722KL,Yageo,RES SMD 22K OHM 1% 1/10W 0603,99,15/16,1+  10+  100+  250+  500+,-,¥0.0330  ¥0.0169  ¥0.0091  ¥0.0046  ¥0.0027,1-3个工作日,购买
NLV32T-2R2J-PF,TDK,FIXED IND 2.2UH 320MA 1 OHM SMD,90,16+,1+  10+  100+  500+  1000+,-,¥0.2440  ¥0.2196  ¥0.1994  ¥0.1815  ¥0.1654,1-3个工作日,购买
RC0402FR-0710RL,Yageo,RES SMD 10 OHM 1% 1/16W 0402,85,16+,1+  10+  100+  250+  500+,-,¥0.0244  ¥0.0129  ¥0.0066  ¥0.0035  ¥0.0020,1-3个工作日,购买
WSR2R0100FEA,VISHAY,RES SMD 0.01 OHM 1% 2W 4527,65,08+,1+  50+  100+  500+  1000+  2500+  5000+,-,¥7.5093  ¥7.0629  ¥6.7013  ¥6.3353  ¥6.0163  ¥5.6714  ¥5.3643,1-3个工作日,购买
NLV32T-2R2J-PF,TDK,FIXED IND 2.2UH 320MA 1 OHM SMD,50,16+,1+  10+  100+  500+  1000+,-,¥0.2098  ¥0.1922  ¥0.1735  ¥0.1588  ¥0.1448,1-3个工作日,购买
RC0603FR-0747KL,Yageo,RES SMD 47K OHM 1% 1/10W 0603,50,15/16,1+  10+  100+  250+  500+,-,¥0.0332  ¥0.0154  ¥0.0088  ¥0.0050  ¥0.0027,1-3个工作日,购买
RT0603BRE071K5L,Yageo,RES SMD 1.5K OHM 0.1% 1/10W 0603,50,16+,1+  10+  100+  500+  1000+,-,¥1.1753  ¥1.0761  ¥0.9781  ¥0.8826  ¥0.7980,1-3个工作日,购买
RT0603BRD0747KL,Yageo,RES SMD 47K OHM 0.1% 1/10W 0603,32,a,1+  10+  25+  50+  100+  250+  500+,-,¥2.9054  ¥2.7077  ¥2.5308  ¥2.3670  ¥2.2037  ¥2.0617  ¥1.9190,1-3个工作日,购买
RT1206BRD072K4L,Yageo,RES SMD 2.4K OHM 0.1% 1/4W 1206,20,a,1+  10+  25+  50+  100+  250+  500+,-,¥4.1170  ¥3.8382  ¥3.5740  ¥3.3333  ¥3.1034  ¥2.8868  ¥2.6894,1-3个工作日,购买
RC0603JR-0710KL,Yageo,RES SMD 10K OHM 5% 1/10W 0603,20,15/16,1+  10+  100+  250+  500+,-,¥0.0288  ¥0.0158  ¥0.0082  ¥0.0045  ¥0.0023,1-3个工作日,购买
GCM21BR71A106KE22L,Murata,CAP CER 10UF 10V 10% X7R 0805,7,A,1+  10+  25+  50+  100+  250+  500+,-,¥3.8970  ¥3.6378  ¥3.3890  ¥3.1715  ¥2.9524  ¥2.7544  ¥2.5655,1-3个工作日,购买
PMR100HZPFU6L00,ROHM,RES SMD 0.006 OHM 1% 2W 2512,5,Aa,1+  10+  25+  50+  100+  250+  500+,-,¥4.6481  ¥4.3279  ¥4.0516  ¥3.7830  ¥3.5442  ¥3.3221  ¥3.0962,1-3个工作日,购买
CC0805FRNPO9BN150,Yageo,,4000,16+,1+  10+  100+  250+  500+,-,¥0.8795  ¥0.4225  ¥0.2343  ¥0.1283  ¥0.0678,1-3个工作日,购买
GRM219F51C105ZA01D,Murata,CAP CER 1UF 16V Y5V 0805,4000,1629+,1+  10+  100+  250+  500+,-,¥0.9642  ¥0.4843  ¥0.2695  ¥0.1425  ¥0.0760,1-3个工作日,购买
CC1206KRX7R9BB332,Yageo,CAP CER 3300PF 50V 10% X7R 1206,3980,16+,1+  10+  100+  250+  500+,-,¥0.8320  ¥0.3894  ¥0.1931  ¥0.0924  ¥0.0496,1-3个工作日,购买
CC0603JRNPO9BN222,Yageo,,3950,16+,1+  10+  100+  250+  500+,-,¥0.6541  ¥0.3668  ¥0.1698  ¥0.0911  ¥0.0466,1-3个工作日,购买
CC0805FRNPO9BN200,Yageo,,3900,16+,1+  10+  100+  250+  500+,-,¥1.1149  ¥0.5289  ¥0.2675  ¥0.1390  ¥0.0712,1-3个工作日,购买
CC1206KRX7R9BB333,Yageo,CAP CER 0.033UF 50V 10% X7R 1206,3000,16+,1+  10+  100+  250+  500+,-,¥0.7271  ¥0.3839  ¥0.2190  ¥0.1196  ¥0.0630,1-3个工作日,购买
GCM1885C2A221JA16D,Murata,CAP CER 220PF 100V 5% NP0 0603,2000,A,1+  10+  100+  250+  500+,$0.4478  $0.2376  $0.1108  $0.0578  $0.0310,¥3.5112  ¥1.8631  ¥0.8684  ¥0.4534  ¥0.2425,1-3个工作日,购买
CC0805FRNPO9BN100,Yageo,,1240,17+,1+  10+  100+  250+  500+,-,¥1.0518  ¥0.5152  ¥0.2858  ¥0.1588  ¥0.0735,1-3个工作日,购买
CC1206JRNPO9BN222,Yageo,,1000,16+,1+  10+  100+  500+  1000+,-,¥0.2633  ¥0.2418  ¥0.2223  ¥0.2036  ¥0.1860,1-3个工作日,购买
CC0603JRNPO9BN300,Yageo,,100,15/16,1+  10+  100+  250+  500+,-,¥0.0807  ¥0.0466  ¥0.0257  ¥0.0121  ¥0.0066,1-3个工作日,购买
NLV32T-2R2J-PF,TDK,FIXED IND 2.2UH 320MA 1 OHM SMD,90,16+,1+  10+  100+  500+  1000+,-,¥0.2440  ¥0.2196  ¥0.1994  ¥0.1815  ¥0.1654,1-3个工作日,购买
NLV32T-2R2J-PF,TDK,FIXED IND 2.2UH 320MA 1 OHM SMD,50,16+,1+  10+  100+  500+  1000+,-,¥0.2098  ¥0.1922  ¥0.1735  ¥0.1588  ¥0.1448,1-3个工作日,购买
GCM21BR71A106KE22L,Murata,CAP CER 10UF 10V 10% X7R 0805,7,A,1+  10+  25+  50+  100+  250+  500+,-,¥3.8970  ¥3.6378  ¥3.3890  ¥3.1715  ¥2.9524  ¥2.7544  ¥2.5655,1-3个工作日,购买
CC0805FRNPO9BN150,Yageo,,4000,16+,1+  10+  100+  250+  500+,-,¥0.8795  ¥0.4225  ¥0.2343  ¥0.1283  ¥0.0678,1-3个工作日,购买
GRM219F51C105ZA01D,Murata,CAP CER 1UF 16V Y5V 0805,4000,1629+,1+  10+  100+  250+  500+,-,¥0.9642  ¥0.4843  ¥0.2695  ¥0.1425  ¥0.0760,1-3个工作日,购买
CC1206KRX7R9BB332,Yageo,CAP CER 3300PF 50V 10% X7R 1206,3980,16+,1+  10+  100+  250+  500+,-,¥0.8320  ¥0.3894  ¥0.1931  ¥0.0924  ¥0.0496,1-3个工作日,购买
CC0603JRNPO9BN222,Yageo,,3950,16+,1+  10+  100+  250+  500+,-,¥0.6541  ¥0.3668  ¥0.1698  ¥0.0911  ¥0.0466,1-3个工作日,购买
CC0805FRNPO9BN200,Yageo,,3900,16+,1+  10+  100+  250+  500+,-,¥1.1149  ¥0.5289  ¥0.2675  ¥0.1390  ¥0.0712,1-3个工作日,购买
CC1206KRX7R9BB333,Yageo,CAP CER 0.033UF 50V 10% X7R 1206,3000,16+,1+  10+  100+  250+  500+,-,¥0.7271  ¥0.3839  ¥0.2190  ¥0.1196  ¥0.0630,1-3个工作日,购买
GCM1885C2A221JA16D,Murata,CAP CER 220PF 100V 5% NP0 0603,2000,A,1+  10+  100+  250+  500+,$0.4478  $0.2376  $0.1108  $0.0578  $0.0310,¥3.5112  ¥1.8631  ¥0.8684  ¥0.4534  ¥0.2425,1-3个工作日,购买
CC0805FRNPO9BN100,Yageo,,1240,17+,1+  10+  100+  250+  500+,-,¥1.0518  ¥0.5152  ¥0.2858  ¥0.1588  ¥0.0735,1-3个工作日,购买
CC1206JRNPO9BN222,Yageo,,1000,16+,1+  10+  100+  500+  1000+,-,¥0.2633  ¥0.2418  ¥0.2223  ¥0.2036  ¥0.1860,1-3个工作日,购买
BAV99LT3G,ON,DIODE ARRAY 70V 215MA SOT23,700,17,1+  10+  100+  250+  500+,-,¥0.8386  ¥0.4506  ¥0.2529  ¥0.1403  ¥0.0650,1-3个工作日,购买
BAV170-7-F,DIODES,DIODE ARRAY 85V 125MA SOT23,510,A,1+  10+  100+  500+  1000+,-,¥0.7589  ¥0.6919  ¥0.6321  ¥0.5725  ¥0.5153,1-3个工作日,购买
BAV170-7-F,DIODES,DIODE ARRAY 85V 125MA SOT23,510,a,1+  10+  100+  500+  1000+,-,¥0.2482  ¥0.2272  ¥0.2064  ¥0.1880  ¥0.1724,1-3个工作日,购买
CC0603JRNPO9BN300,Yageo,,100,15/16,1+  10+  100+  250+  500+,-,¥0.0807  ¥0.0466  ¥0.0257  ¥0.0121  ¥0.0066,1-3个工作日,购买
NLV32T-2R2J-PF,TDK,FIXED IND 2.2UH 320MA 1 OHM SMD,90,16+,1+  10+  100+  500+  1000+,-,¥0.2440  ¥0.2196  ¥0.1994  ¥0.1815  ¥0.1654,1-3个工作日,购买
NLV32T-2R2J-PF,TDK,FIXED IND 2.2UH 320MA 1 OHM SMD,50,16+,1+  10+  100+  500+  1000+,-,¥0.2098  ¥0.1922  ¥0.1735  ¥0.1588  ¥0.1448,1-3个工作日,购买
DMTH6016LSDQ-13,DIODES,,45,16+,1+  50+  100+  500+  1000+  2500+  5000+,-,¥12.3276  ¥11.6357  ¥10.9389  ¥10.3907  ¥9.7949  ¥9.2779  ¥8.7780,1-3个工作日,购买
IRL6372TRPBF,Infineon,MOSFET 2N-CH 30V 8.1A 8SOIC,10,Aa,1+  10+  25+  50+  100+  250+  500+,-,¥5.0927  ¥4.7460  ¥4.4365  ¥4.1677  ¥3.8959  ¥3.6439  ¥3.4017,1-3个工作日,购买
GCM21BR71A106KE22L,Murata,CAP CER 10UF 10V 10% X7R 0805,7,A,1+  10+  25+  50+  100+  250+  500+,-,¥3.8970  ¥3.6378  ¥3.3890  ¥3.1715  ¥2.9524  ¥2.7544  ¥2.5655,1-3个工作日,购买
CC0805FRNPO9BN150,Yageo,,4000,16+,1+  10+  100+  250+  500+,-,¥0.8795  ¥0.4225  ¥0.2343  ¥0.1283  ¥0.0678,1-3个工作日,购买
GRM219F51C105ZA01D,Murata,CAP CER 1UF 16V Y5V 0805,4000,1629+,1+  10+  100+  250+  500+,-,¥0.9642  ¥0.4843  ¥0.2695  ¥0.1425  ¥0.0760,1-3个工作日,购买
CC1206KRX7R9BB332,Yageo,CAP CER 3300PF 50V 10% X7R 1206,3980,16+,1+  10+  100+  250+  500+,-,¥0.8320  ¥0.3894  ¥0.1931  ¥0.0924  ¥0.0496,1-3个工作日,购买
CC0603JRNPO9BN222,Yageo,,3950,16+,1+  10+  100+  250+  500+,-,¥0.6541  ¥0.3668  ¥0.1698  ¥0.0911  ¥0.0466,1-3个工作日,购买
CC0805FRNPO9BN200,Yageo,,3900,16+,1+  10+  100+  250+  500+,-,¥1.1149  ¥0.5289  ¥0.2675  ¥0.1390  ¥0.0712,1-3个工作日,购买
CC1206KRX7R9BB333,Yageo,CAP CER 0.033UF 50V 10% X7R 1206,3000,16+,1+  10+  100+  250+  500+,-,¥0.7271  ¥0.3839  ¥0.2190  ¥0.1196  ¥0.0630,1-3个工作日,购买
GCM1885C2A221JA16D,Murata,CAP CER 220PF 100V 5% NP0 0603,2000,A,1+  10+  100+  250+  500+,$0.4478  $0.2376  $0.1108  $0.0578  $0.0310,¥3.5112  ¥1.8631  ¥0.8684  ¥0.4534  ¥0.2425,1-3个工作日,购买
CC0805FRNPO9BN100,Yageo,,1240,17+,1+  10+  100+  250+  500+,-,¥1.0518  ¥0.5152  ¥0.2858  ¥0.1588  ¥0.0735,1-3个工作日,购买
CC1206JRNPO9BN222,Yageo,,1000,16+,1+  10+  100+  500+  1000+,-,¥0.2633  ¥0.2418  ¥0.2223  ¥0.2036  ¥0.1860,1-3个工作日,购买
CC0603JRNPO9BN300,Yageo,,100,15/16,1+  10+  100+  250+  500+,-,¥0.0807  ¥0.0466  ¥0.0257  ¥0.0121  ¥0.0066,1-3个工作日,购买
NLV32T-2R2J-PF,TDK,FIXED IND 2.2UH 320MA 1 OHM SMD,90,16+,1+  10+  100+  500+  1000+,-,¥0.2440  ¥0.2196  ¥0.1994  ¥0.1815  ¥0.1654,1-3个工作日,购买
NLV32T-2R2J-PF,TDK,FIXED IND 2.2UH 320MA 1 OHM SMD,50,16+,1+  10+  100+  500+  1000+,-,¥0.2098  ¥0.1922  ¥0.1735  ¥0.1588  ¥0.1448,1-3个工作日,购买
GCM21BR71A106KE22L,Murata,CAP CER 10UF 10V 10% X7R 0805,7,A,1+  10+  25+  50+  100+  250+  500+,-,¥3.8970  ¥3.6378  ¥3.3890  ¥3.1715  ¥2.9524  ¥2.7544  ¥2.5655,1-3个工作日,购买
CC0805FRNPO9BN150,Yageo,,4000,16+,1+  10+  100+  250+  500+,-,¥0.8795  ¥0.4225  ¥0.2343  ¥0.1283  ¥0.0678,1-3个工作日,购买
GRM219F51C105ZA01D,Murata,CAP CER 1UF 16V Y5V 0805,4000,1629+,1+  10+  100+  250+  500+,-,¥0.9642  ¥0.4843  ¥0.2695  ¥0.1425  ¥0.0760,1-3个工作日,购买
CC1206KRX7R9BB332,Yageo,CAP CER 3300PF 50V 10% X7R 1206,3980,16+,1+  10+  100+  250+  500+,-,¥0.8320  ¥0.3894  ¥0.1931  ¥0.0924  ¥0.0496,1-3个工作日,购买
CC0603JRNPO9BN222,Yageo,,3950,16+,1+  10+  100+  250+  500+,-,¥0.6541  ¥0.3668  ¥0.1698  ¥0.0911  ¥0.0466,1-3个工作日,购买
CC0805FRNPO9BN200,Yageo,,3900,16+,1+  10+  100+  250+  500+,-,¥1.1149  ¥0.5289  ¥0.2675  ¥0.1390  ¥0.0712,1-3个工作日,购买
CC1206KRX7R9BB333,Yageo,CAP CER 0.033UF 50V 10% X7R 1206,3000,16+,1+  10+  100+  250+  500+,-,¥0.7271  ¥0.3839  ¥0.2190  ¥0.1196  ¥0.0630,1-3个工作日,购买
GCM1885C2A221JA16D,Murata,CAP CER 220PF 100V 5% NP0 0603,2000,A,1+  10+  100+  250+  500+,$0.4478  $0.2376  $0.1108  $0.0578  $0.0310,¥3.5112  ¥1.8631  ¥0.8684  ¥0.4534  ¥0.2425,1-3个工作日,购买
CC0805FRNPO9BN100,Yageo,,1240,17+,1+  10+  100+  250+  500+,-,¥1.0518  ¥0.5152  ¥0.2858  ¥0.1588  ¥0.0735,1-3个工作日,购买
CC1206JRNPO9BN222,Yageo,,1000,16+,1+  10+  100+  500+  1000+,-,¥0.2633  ¥0.2418  ¥0.2223  ¥0.2036  ¥0.1860,1-3个工作日,购买
CC0603JRNPO9BN300,Yageo,,100,15/16,1+  10+  100+  250+  500+,-,¥0.0807  ¥0.0466  ¥0.0257  ¥0.0121  ¥0.0066,1-3个工作日,购买
NLV32T-2R2J-PF,TDK,FIXED IND 2.2UH 320MA 1 OHM SMD,90,16+,1+  10+  100+  500+  1000+,-,¥0.2440  ¥0.2196  ¥0.1994  ¥0.1815  ¥0.1654,1-3个工作日,购买
NLV32T-2R2J-PF,TDK,FIXED IND 2.2UH 320MA 1 OHM SMD,50,16+,1+  10+  100+  500+  1000+,-,¥0.2098  ¥0.1922  ¥0.1735  ¥0.1588  ¥0.1448,1-3个工作日,购买
GCM21BR71A106KE22L,Murata,CAP CER 10UF 10V 10% X7R 0805,7,A,1+  10+  25+  50+  100+  250+  500+,-,¥3.8970  ¥3.6378  ¥3.3890  ¥3.1715  ¥2.9524  ¥2.7544  ¥2.5655,1-3个工作日,购买
CC0805FRNPO9BN150,Yageo,,4000,16+,1+  10+  100+  250+  500+,-,¥0.8795  ¥0.4225  ¥0.2343  ¥0.1283  ¥0.0678,1-3个工作日,购买
GRM219F51C105ZA01D,Murata,CAP CER 1UF 16V Y5V 0805,4000,1629+,1+  10+  100+  250+  500+,-,¥0.9642  ¥0.4843  ¥0.2695  ¥0.1425  ¥0.0760,1-3个工作日,购买
CC1206KRX7R9BB332,Yageo,CAP CER 3300PF 50V 10% X7R 1206,3980,16+,1+  10+  100+  250+  500+,-,¥0.8320  ¥0.3894  ¥0.1931  ¥0.0924  ¥0.0496,1-3个工作日,购买
CC0603JRNPO9BN222,Yageo,,3950,16+,1+  10+  100+  250+  500+,-,¥0.6541  ¥0.3668  ¥0.1698  ¥0.0911  ¥0.0466,1-3个工作日,购买
CC0805FRNPO9BN200,Yageo,,3900,16+,1+  10+  100+  250+  500+,-,¥1.1149  ¥0.5289  ¥0.2675  ¥0.1390  ¥0.0712,1-3个工作日,购买
CC1206KRX7R9BB333,Yageo,CAP CER 0.033UF 50V 10% X7R 1206,3000,16+,1+  10+  100+  250+  500+,-,¥0.7271  ¥0.3839  ¥0.2190  ¥0.1196  ¥0.0630,1-3个工作日,购买
GCM1885C2A221JA16D,Murata,CAP CER 220PF 100V 5% NP0 0603,2000,A,1+  10+  100+  250+  500+,$0.4478  $0.2376  $0.1108  $0.0578  $0.0310,¥3.5112  ¥1.8631  ¥0.8684  ¥0.4534  ¥0.2425,1-3个工作日,购买
CC0805FRNPO9BN100,Yageo,,1240,17+,1+  10+  100+  250+  500+,-,¥1.0518  ¥0.5152  ¥0.2858  ¥0.1588  ¥0.0735,1-3个工作日,购买
CC1206JRNPO9BN222,Yageo,,1000,16+,1+  10+  100+  500+  1000+,-,¥0.2633  ¥0.2418  ¥0.2223  ¥0.2036  ¥0.1860,1-3个工作日,购买
BAV99LT3G,ON,DIODE ARRAY 70V 215MA SOT23,700,17,1+  10+  100+  250+  500+,-,¥0.8386  ¥0.4506  ¥0.2529  ¥0.1403  ¥0.0650,1-3个工作日,购买
BAV170-7-F,DIODES,DIODE ARRAY 85V 125MA SOT23,510,A,1+  10+  100+  500+  1000+,-,¥0.7589  ¥0.6919  ¥0.6321  ¥0.5725  ¥0.5153,1-3个工作日,购买
BAV170-7-F,DIODES,DIODE ARRAY 85V 125MA SOT23,510,a,1+  10+  100+  500+  1000+,-,¥0.2482  ¥0.2272  ¥0.2064  ¥0.1880  ¥0.1724,1-3个工作日,购买
CC0603JRNPO9BN300,Yageo,,100,15/16,1+  10+  100+  250+  500+,-,¥0.0807  ¥0.0466  ¥0.0257  ¥0.0121  ¥0.0066,1-3个工作日,购买
NLV32T-2R2J-PF,TDK,FIXED IND 2.2UH 320MA 1 OHM SMD,90,16+,1+  10+  100+  500+  1000+,-,¥0.2440  ¥0.2196  ¥0.1994  ¥0.1815  ¥0.1654,1-3个工作日,购买
NLV32T-2R2J-PF,TDK,FIXED IND 2.2UH 320MA 1 OHM SMD,50,16+,1+  10+  100+  500+  1000+,-,¥0.2098  ¥0.1922  ¥0.1735  ¥0.1588  ¥0.1448,1-3个工作日,购买
DMTH6016LSDQ-13,DIODES,,45,16+,1+  50+  100+  500+  1000+  2500+  5000+,-,¥12.3276  ¥11.6357  ¥10.9389  ¥10.3907  ¥9.7949  ¥9.2779  ¥8.7780,1-3个工作日,购买
IRL6372TRPBF,Infineon,MOSFET 2N-CH 30V 8.1A 8SOIC,10,Aa,1+  10+  25+  50+  100+  250+  500+,-,¥5.0927  ¥4.7460  ¥4.4365  ¥4.1677  ¥3.8959  ¥3.6439  ¥3.4017,1-3个工作日,购买
GCM21BR71A106KE22L,Murata,CAP CER 10UF 10V 10% X7R 0805,7,A,1+  10+  25+  50+  100+  250+  500+,-,¥3.8970  ¥3.6378  ¥3.3890  ¥3.1715  ¥2.9524  ¥2.7544  ¥2.5655,1-3个工作日,购买
